부착대관리번호,신호등종류,X좌표,Y좌표
03-0000066071,2.0,207571.93992,544018.98714
03-0000064095,2.0,185288.02272,547008.65029
03-0000064165,2.0,182546.05205,552632.23822
03-0000064169,2.0,187212.59829,551649.15051
03-0000064171,2.0,186792.21888,552002.8884
03-0000064226,2.0,186999.15609,551638.56734
03-0000064255,2.0,184702.32283,551205.85693
03-0000065290,2.0,192525.26649,555318.05007
03-0000065785,2.0,204665.51268,561807.83035
03-0000066897,2.0,205697.375,546164.4375
03-0000067124,2.0,204030.69785,544892.74314
03-0000067115,2.0,204648.1791,547275.98866
03-0000067093,2.0,203293.60282,547694.12608
03-0000067084,2.0,202298.49405,546607.05689
03-0000067078,2.0,203165.25865,546951.39764
03-0000067070,2.0,203968.19423,547148.48248
03-0000067024,2.0,203506.94298,544698.12537
03-0000061319,2.0,193383.34434,553030.10498
03-0000065238,2.0,192814.38854,552181.01274
03-0000066172,2.0,201557.29159,555926.21984
03-0000066174,2.0,201674.52374,555864.23438
03-0000066176,2.0,201687.05787,555856.05781
03-0000066185,2.0,200544.57252,557170.73508
03-0000066190,2.0,211557.94197,542807.80378
03-0000066260,2.0,210247.56541,546352.10051
03-0000066270,2.0,210330.09375,543902.625
03-0000066298,2.0,202278.75507,559824.67885
03-0000066311,2.0,201760.85619,560600.57273
03-0000066313,2.0,200965.70285,560386.6773
03-0000066314,2.0,200957.9028,560552.16833
03-0000066459,2.0,216053.54213,551045.05384
03-0000018819,2.0,190247.13034,546853.50401
03-0000030647,2.0,190261.37884,546838.16849
03-0000066483,2.0,211495.90318,549491.3071
03-0000066484,2.0,211494.82158,549493.82042
03-0000066414,2.0,200683.71222,550176.36656
03-0000066664,2.0,200922.12782,560862.72903
03-0000044576,2.0,199789.99758,552521.33418
03-0000066789,2.0,196807.73438,551389.78125
03-0000066786,2.0,196839.85295,551391.6469
03-0000009181,2.0,196675.77311,551097.95014
03-0000066768,2.0,196667.25045,551111.66327
03-0000008936,2.0,196409.23728,550896.12942
03-0000066760,2.0,196364.21875,550854.5
03-0000066757,2.0,196385.92188,550832.75
03-0000004862,2.0,196102.53378,550891.8496
03-0000066739,2.0,196150.995,550889.80723
03-0000053015,2.0,196154.88199,550891.22042
03-0000066725,2.0,195777.09375,550856.65625
03-0000066717,2.0,195745.35938,550839.71875
03-0000066687,2.0,202048.18621,555087.97377
03-0000066688,2.0,202051.9764,555078.36887
03-0000066655,2.0,186155.18354,549781.81565
03-0000066649,2.0,185918.05587,549826.73099
03-0000049498,2.0,185906.86337,549834.69462
03-0000049494,2.0,185901.33464,549846.98856
03-0000049491,2.0,185652.72237,549836.06809
03-0000066620,2.0,185545.65625,549633.3125
03-0000068149,2.0,197964.53694,551575.5016
03-0000061312,2.0,207838.09727,554859.0313
03-0000061313,2.0,207838.78869,554860.85413
03-0000061315,2.0,207842.02278,554844.71145
03-0000061354,2.0,197734.80793,542673.10147
03-0000010330,2.0,197760.49188,542644.02717
03-0000018724,2.0,188934.08429,546032.44913
03-0000026507,2.0,191398.42453,541263.48913
03-0000035649,2.0,188449.53125,546487.9375
03-0000060257,2.0,196976.36908,546789.81721
03-0000053497,2.0,196975.04279,546798.31597
03-0000060258,4.0,196128.34639,546039.43703
03-0000066702,2.0,185828.32829,546413.35005
03-0000066696,2.0,185685.6875,546379.75
03-0000056307,2.0,189998.04906,542493.79254
03-0000008624,2.0,186542.97728,544741.53712
03-0000000330,2.0,190462.75208,545723.17941
03-0000057374,2.0,190441.18445,545748.76202
03-0000057371,2.0,190323.5625,545665.5
03-0000067675,2.0,194729.6396,546823.48278
03-0000067669,2.0,194622.54678,546758.94701
03-0000067665,2.0,194468.34144,546636.57369
03-0000067654,2.0,194502.5543,547058.273
03-0000067649,2.0,194160.21946,546597.98158
03-0000067645,2.0,193981.81578,546817.46131
03-0000067644,2.0,194136.47667,547150.86144
03-0000067638,2.0,193866.51187,546977.41066
03-0000067636,2.0,193855.11009,546933.61257
03-0000067633,2.0,193684.46008,546818.89544
03-0000067624,2.0,193599.74528,546919.85619
03-0000067620,2.0,193169.06814,546797.25229
03-0000011562,2.0,197600.73919,552946.75501
03-0000064925,2.0,205405.46342,553166.33107
03-0000065286,2.0,193947.13301,552207.14487
03-0000032008,2.0,192621.48713,552100.38795
03-0000065260,2.0,193525.53322,552855.17655
03-0000052418,2.0,192688.90625,559466.40625
03-0000029996,2.0,211624.38715,543170.67149
03-0000014863,2.0,211619.07161,543196.90765
03-0000043675,2.0,187387.24321,551016.86381
03-0000065516,2.0,185469.18967,548362.11676
03-0000019164,2.0,190958.55034,548524.09783
03-0000011046,2.0,188052.03152,544298.76436
03-0000067236,2.0,188306.90668,545985.45511
03-0000009312,2.0,191985.42188,546423.09375
03-0000044061,2.0,189245.03364,545259.42485
03-0000058584,2.0,185202.1782,545752.98684
03-0000068664,2.0,189639.9664,549461.75549
